Destination,Rates
Afghanistan,0.1429
Afghanistan Mobile,0.0567
Afghanistan Mobile MTN,0.0868
Afghanistan Mobile Roshan,0.0725
Albania,0.0968
Albania Fix AMC,0.0979
Albania Mobile,0.2069
Albania Mobile AMC,0.1452
Albania Mobile Plus,0.1991
Albania Mobile Vodafone,0.2049
Albania Premium Services,0.7772
Algeria,0.0397
Algeria Mobile,0.277
Algeria Mobile Orascom,0.272
Algeria Mobile Wataniya,0.268
Andorra,0.0125
Andorra Mobile,0.0997
Angola,0.0452
Angola Mobile,0.0403
Angola Mobile Unitel,0.0392
Anguilla,0.1663
Anguilla Mobile,0.1972
Anguilla Mobile Digicel,0.1972
Antigua and Barbuda,0.1953
Antigua and Barbuda Mobile,0.1953
Argentina,0.0174
Argentina (Buenos Aires),0.0041
Argentina (Cordoba),0.0055
Argentina (La Plata),0.0055
Argentina (Mar del Plata),0.0055
Argentina (Mendoza),0.0055
Argentina (Rosario),0.0055
Argentina Mobile,0.0712
Argentina VAS1,15
Argentina VAS2,15
Armenia,0.0801
Armenia (Karabakh),0.0837
Armenia (Yerevan),0.0868
Armenia Alternative Networks,0.0801
Armenia Mobile,0.1112
Armenia Mobile Armentel,0.1223
Armenia Mobile K-Telecom,0.1711
Armenia Mobile Orange,0.1841
Aruba,0.0695
Aruba Mobile,0.1223
Ascension,0.2225
Australia,0.0098
Australia (Metro),0.0087
Australia Mobile,0.0273
Australia Special Services,0.0185
Australia VAS,1.8915
Austria,0.0038
Austria Mobile,0.0131
Austria Mobile Mobilkom,0.0104
Austria Mobile T Mobile,0.0104
Austria VAS,0.1744
Azerbaijan,0.149
Azerbaijan Mobile,0.2114
Azerbaijan Mobile Azercell,0.2124
Bahamas,0.0447
Bahamas Mobile,0.0534
Bahrain,0.0346
Bahrain Mobile,0.0376
Bangladesh,0.012
Bangladesh Mobile,0.0122
Barbados,0.1112
Barbados Mobile,0.1112
Barbados Mobile Digicel,0.1112
Belarus,0.1746
Belarus (Minsk),0.1746
Belarus Mobile,0.2225
Belarus Mobile MTS,0.2135
Belarus Mobile Velcom,0.1495
Belarus VAS,0.2291
Belarus VAS3,0.2419
Belgium,0.009
Belgium Mobile,0.0193
Belgium Mobile Base,0.014
Belgium Mobile LycaMobile,0.0153
Belgium Mobile Mobistar,0.014
Belgium Mobile Proximus,0.014
Belize,0.1535
Belize Mobile,0.159
Benin,0.1512
Benin Mobile,0.1512
Benin Mobile Etisalat,0.1512
Benin Mobile MTN,0.1597
Bermudas,0.0098
Bermudas Mobile,0.0098
Bhutan,0.0477
Bolivia,0.0667
Bolivia (Cochabamba),0.0678
Bolivia (La Paz),0.0667
Bolivia (Other Cities),0.081
Bolivia (Santa Cruz),0.0656
Bolivia Mobile,0.119
Bolivia Mobile Entel,0.1201
Bolivia Mobile Nuevatel,0.1124
Bolivia Rural,0.0801
Bosnia Herzegovina,0.0742
Bosnia Herzegovina Airaba,0.0728
Bosnia Herzegovina Mob Mobis,0.2114
Bosnia Herzegovina Mobile,0.1669
Bosnia Herzegovina Mobile BIH,0.177
Bosnia Herzegovina Mostar,0.0756
Botswana,0.0371
Botswana Mobile,0.0972
Botswana Mobile Mascom,0.1323
Botswana Mobile Orange,0.1924
Brazil,0.012
Brazil (Belo Horizonte),0.0058
Brazil (Campinas),0.0059
Brazil (Others Cities),0.0071
Brazil (Rio de Janeiro),0.0055
Brazil (Santos),0.0121
Brazil (Sao Paulo),0.0059
Brazil Mobile,0.0264
Brazil Mobile Claro,0.0264
Brazil Mobile OI,0.0264
Brazil Mobile TIM,0.0264
Brazil Mobile Vivo,0.0264
British Virgin Isl,0.0968
British Virgin Isl Mob Digicel,0.1669
British Virgin Isl Mobile,0.1669
Brunei,0.0207
Brunei Mobile,0.0218
Bulgaria,0.0041
Bulgaria (Sofia),0.0041
Bulgaria Mobile,0.0119
Bulgaria Mobile Globul,0.0136
Bulgaria Mobile Mobiltel,0.0136
Bulgaria Premium Services,0.0082
Burkina Faso,0.1296
Burkina Faso Mobile,0.2333
Burkina Faso Mobile Airtel,0.2027
Burkina Faso Mobile Telecel,0.1869
Burundi,0.2947
Burundi Mobile,0.3081
Burundi Mobile Onatel,0.2969
Burundi VAS2,15
Cambodia,0.0559
Cambodia Mobile,0.0458
Cambodia Mobile Metfone,0.0559
Cameroon,0.0833
Cameroon Mobile,0.1101
Cameroon Mobile MTN,0.1101
Cameroon Mobile Orange,0.2845
Cameroon VAS2,0.5995
Canada,0.0032
Canada Northern Territories,0.0039
Cape Verde,0.1384
Cape Verde Mobile,0.2149
Cape Verde Mobile CVT,0.2149
Cayman Islands,0.059
Cayman Islands Mobile,0.0968
Cayman Islands Mobile Digicel,0.0979
Central Afric. Rep. Mob Orange,0.2066
Central African Rep.,0.1446
Central African Rep. Mobile,0.2257
Chad,0.2002
Chad Mobile,0.1558
Chad Mobile Airtel,0.1836
Chad Mobile Tigo,0.1836
Chile,0.0168
Chile (Easter Island),0.5005
Chile (Santiago),0.0069
Chile Mobile,0.0078
Chile Mobilink Interexport,0.0338
Chile Rural,0.4004
Chile VAS1,15
Chile VAS2,15
China,0.0038
China Mobile,0.0033
Christmas Islands,0.0112
Colombia,0.0238
Colombia (Armenia),0.0153
Colombia (Barranquilla),0.0161
Colombia (Bogota),0.0166
Colombia (Bucaramanga),0.0166
Colombia (Cali),0.0121
Colombia (Manizales),0.0148
Colombia (Medellin),0.0182
Colombia (Pereira),0.0142
Colombia Lex,0.1223
Colombia Mobile,0.0501
Colombia Mobile Claro,0.0147
Colombia Mobile Movistar,0.0338
Colombia Mobile Tigo,0.0331
Comores,0.1696
Comores Mobile,0.2169
Comores VAS1,0.2903
Comores VAS2,0.2115
Congo Dem. Rep.,0.2018
Congo Dem. Rep. Mob Airtel,0.1357
Congo Dem. Rep. Mobile,0.1746
Congo Dem. Rep. Mobile Orange,0.2134
Congo Dem. Rep. Mobile Tigo,0.1724
Congo Dem. Rep. Mobile Vodacom,0.1323
Congo Dem. Rep. VAS1,0.4449
Congo Dem. Rep. VAS2,0.4449
Congo Dem. Rep. VAS3,0.2376
Congo Dem. Rep. VAS4,0.3302
Congo Dem. Rep. VAS5,0.7739
Congo Rep.,0.2447
Congo Rep. Mobile,0.2614
Congo Rep. Mobile Airtel,0.2447
Congo Rep. Mobile MTN,0.279
Cook Islands,0.6157
Costa Rica,0.0102
Costa Rica Mobile,0.0368
Costa Rica Mobile Claro,0.0338
Costa Rica Mobile ICE,0.0385
Costa Rica Mobile Movistar,0.0556
Croatia,0.0076
Croatia Mobile T Mobile,0.042
Croatia Mobile Tele2,0.042
Croatia Mobile Vipnet,0.0403
Cuba,0.595
Cyprus,0.0048
Cyprus Mobile,0.0186
Cyprus VAS,0.0069
Czech Rep.,0.0156
Czech Rep. Mobile,0.0545
Czech Rep. Mobile O2,0.0545
Czech Rep. Mobile T Mobile,0.0545
Czech Rep. Special Services,0.0501
Denmark,0.0053
Denmark Mobile,0.0109
Denmark Mobile TDC,0.0109
Denmark Mobile Telenor,0.0109
Denmark Mobile Telia,0.0109
Diego Garcia,0.7008
Djibouti,0.228
Djibouti Mobile,0.228
Dominica,0.195
Dominica Mobile,0.195
Dominica Mobile Digicel,0.1974
Dominican Rep.,0.0158
Dominican Rep. Mobile,0.0566
Dominican Rep. Mobile Orange,0.0565
East Timor,0.2342
East Timor VAS1,0.4088
Ecuador,0.0728
Ecuador (Cuenca),0.0728
Ecuador (Guayaquil),0.0828
Ecuador (Portoviejo),0.0851
Ecuador (Quito),0.0778
Ecuador Etapa,0.0814
Ecuador Mobile,0.1446
Ecuador Mobile Claro,0.1669
Ecuador Mobile Movistar,0.1438
Egypt,0.0371
Egypt Mobile,0.018
Egypt Mobile Etisalat,0.0204
Egypt Mobile Mobinil,0.0204
El Salvador,0.1068
El Salvador CTE,0.0891
El Salvador Mobile,0.1182
El Salvador Mobile Digicel,0.1116
El Salvador Mobile Personal,0.1167
El Salvador Mobile Telefonica,0.1212
El Salvador Mobile Telemovil,0.1101
Elsacom Sat,15
Emsat,15
Equatorial Guinea,0.1461
Equatorial Guinea Mob Greencom,0.1597
Equatorial Guinea Mobile,0.1525
Eritrea,0.1485
Estonia,0.0125
Estonia Mobile,0.2225
Estonia Mobile Others,0.0164
Estonia Mobile Tele2,0.0164
Estonia Personal Numbers,0.2449
Estonia PRS,0.2449
Ethiopia,0.1391
Ethiopia (Addis Abeba),0.1391
Ethiopia Mobile,0.1323
Ethiopia Mobile (Addis Abeba),0.1223
Falkland Islands,1.1031
Faroe Islands,0.0401
Faroe Islands Mobile,0.0556
Fiji,0.1285
Fiji Mobile,0.1296
Fiji Mobile Digicel,0.1296
Finland,0.0158
Finland Mobile,0.0142
Finland Mobile Elisa,0.0142
Finland Mobile Sonera,0.0134
Finland Other Services,0.0349
Finland VAS,0.0545
France,0.0051
France Mobile,0.0218
France Mobile Bouygues,0.0218
France Mobile Free,0.0207
France Mobile Globalstar,0.2725
France Mobile Orange,0.0203
France Mobile SFR,0.0218
France VAS,0.169
French Guyana,0.0116
French Guyana Mobile,0.024
